contigIdx	contigIdxMate	AvgCoverage
765	765	22.7796
765	7965	0.511465
766	766	15.6157
766	7073	0.0325912
767	767	16.9319
768	35	0.0281528
768	768	14.7506
768	8788	0.0284401
769	769	123.411
769	1983	0.0114064
769	4262	0.430364
769	5898	0.0103798
770	770	12.1623
770	9120	0.0145695
771	771	18.9173
771	2772	0.0907865
771	7110	0.537528
771	7311	0.265169
772	772	22.9433
772	1514	0.0333333
772	2674	0.329004
772	11021	0.761472
773	773	7.19686
774	412	0.227436
774	774	26.013
774	7083	0.260997
775	775	13.8582
775	3622	0.062461
775	7231	0.0618364
776	776	11.7
777	777	9.005
778	778	19.084
779	779	13.198
779	1222	0.0759113
779	6087	0.0368283
780	780	11.6459
781	781	16.744
781	8335	0.0275813
782	782	26.4722
783	783	17.8331
784	784	19.4418
784	1077	0.516253
